"Mode (hex)","PID (hex)","Data bytes returned",Description,"Min value","Max value",Units,Formula
1,5D,2,"Fuel injection timing",-210,301.992,°,"(38,655-((A*256)+B))/128"
1,5E,2,"Engine fuel rate",0,3212.75,L/h,((A*256)+B)*0.05
1,5F,1,"Emission requirements to which vehicle is designed",,,,""
1,61,1,"Driver's demand engine - percent torque",-125,125,%,"A-125"
1,62,1,"Actual engine - percent torque",-125,125,%,"A-125"
1,63,2,"Engine reference torque",0,65535,Nm,"A*256+B"
1,64,5,"Engine percent torque data - Idle",-125,125,%,"A-125","Engine percent torque data - point 1",-125,125,%,"B-125","Engine percent torque data - point 2",-125,125,%,"C-125","Engine percent torque data - point 3",-125,125,%,"D-125","Engine percent torque data - point 4",-125,125,%,"E-125",
1,65,2,"Auxiliary input / output supported",,,,""
1,66,5,"Mass air flow sensor",,,,
1,67,3,"Engine coolant temperature",,,,
1,68,7,"Intake air temperature sensor",,,,
1,69,7,"Commanded EGR and EGR Error",,,,
1,6A,5,"Commanded Diesel intake air flow control and relative intake air flow position",,,,
1,6B,5,"Exhaust gas recirculation temperature",,,,
1,6C,5,"Commanded throttle actuator control and relative throttle position",,,,
1,6D,6,"Fuel pressure control system",,,,
1,6E,5,"Injection pressure control system",,,,
1,6F,3,"Turbocharger compressor inlet pressure",,,,
1,70,9,"Boost pressure control",,,,
1,71,5,"Variable Geometry turbo (VGT) control",,,,
1,72,5,"Wastegate control",,,,
1,73,5,"Exhaust pressure",,,,
1,74,5,"Turbocharger RPM",,,,
1,75,7,"Turbocharger temperature",,,,
1,76,7,"Turbocharger temperature",,,,
1,77,5,"Charge air cooler temperature (CACT)",,,,
1,78,9,"Exhaust Gas temperature (EGT) Bank 1",,,,""
1,79,9,"Exhaust Gas temperature (EGT) Bank 2",,,,""
1,7A,7,"Diesel particulate filter (DPF)",,,,
1,7B,7,"Diesel particulate filter (DPF)",,,,
1,7C,9,"Diesel Particulate filter (DPF) temperature",,,,
1,7D,1,"NOx NTE control area status",,,,
1,7E,1,"PM NTE control area status",,,,
1,7F,13,"Engine run time",,,,
1,81,21,"Engine run time for AECD",,,,
1,82,21,"Engine run time for AECD",,,,
1,83,5,"NOx sensor",,,,
1,84,,"Manifold surface temperature",,,,
1,85,,"NOx reagent system",,,,
1,86,,"Particulate matter (PM) sensor",,,,
1,87,,"Intake manifold absolute pressure",,,,
1,C3,?,?,?,?,?,"Returns numerous data, including Drive Condition ID and Engine Speed*"
1,C4,?,?,?,?,?,"B5 is Engine Idle Request B6 is Engine Stop Request*"
5,100,,"OBD Monitor IDs supported ($01 - $20)",,,,
5,101,,"O2 Sensor Monitor Bank 1 Sensor 1",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,102,,"O2 Sensor Monitor Bank 1 Sensor 2",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,103,,"O2 Sensor Monitor Bank 1 Sensor 3",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,104,,"O2 Sensor Monitor Bank 1 Sensor 4",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,105,,"O2 Sensor Monitor Bank 2 Sensor 1",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,106,,"O2 Sensor Monitor Bank 2 Sensor 2",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,107,,"O2 Sensor Monitor Bank 2 Sensor 3",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,108,,"O2 Sensor Monitor Bank 2 Sensor 4",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,109,,"O2 Sensor Monitor Bank 3 Sensor 1",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,010A,,"O2 Sensor Monitor Bank 3 Sensor 2",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,010B,,"O2 Sensor Monitor Bank 3 Sensor 3",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,010C,,"O2 Sensor Monitor Bank 3 Sensor 4",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,010D,,"O2 Sensor Monitor Bank 4 Sensor 1",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,010E,,"O2 Sensor Monitor Bank 4 Sensor 2",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,010F,,"O2 Sensor Monitor Bank 4 Sensor 3",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,110,,"O2 Sensor Monitor Bank 4 Sensor 4",0,1.275,Volts,"0.005 Rich to lean sensor threshold voltage"
5,201,,"O2 Sensor Monitor Bank 1 Sensor 1",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,202,,"O2 Sensor Monitor Bank 1 Sensor 2",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,203,,"O2 Sensor Monitor Bank 1 Sensor 3",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,204,,"O2 Sensor Monitor Bank 1 Sensor 4",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,205,,"O2 Sensor Monitor Bank 2 Sensor 1",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,206,,"O2 Sensor Monitor Bank 2 Sensor 2",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,207,,"O2 Sensor Monitor Bank 2 Sensor 3",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,208,,"O2 Sensor Monitor Bank 2 Sensor 4",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,209,,"O2 Sensor Monitor Bank 3 Sensor 1",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,020A,,"O2 Sensor Monitor Bank 3 Sensor 2",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,020B,,"O2 Sensor Monitor Bank 3 Sensor 3",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,020C,,"O2 Sensor Monitor Bank 3 Sensor 4",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,020D,,"O2 Sensor Monitor Bank 4 Sensor 1",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,020E,,"O2 Sensor Monitor Bank 4 Sensor 2",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,020F,,"O2 Sensor Monitor Bank 4 Sensor 3",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
5,210,,"O2 Sensor Monitor Bank 4 Sensor 4",0,1.275,Volts,"0.005 Lean to Rich sensor threshold voltage"
9,0,4,"mode 9 supported PIDs 01 to 20",,,,""
9,01,1,"Message Count for VIN",,,,""
9,02,17,"Vehicle identification number (VIN)",,,,"HEX_to_ASCII"
9,03,1,"Message Count for Calibration ID",,,,""
9,04,16,"Calibration ID",,,,"HEX_to_ASCII"
9,05,1,"Message Count for CVN",,,,""
9,06,4,"CVN (Calibration Verification Number)",,,,"HEX"
9,07,1,"Message Count for IPT",,,,""
9,08,32,"IPT spark ignition (In-use Performance Tracking)",,,,"PAIR_HEX_to_INT"
9,0A,,"ECU Name",,,,"HEX_to_ASCII"
9,0B,,"IPT compression ignition (In-use Performance Tracking)",,,,"PAIR_HEX_to_INT"
